ブランド,モデル,e-bike,ステータス,取扱店舗,住所,種別,サイズ,料金_3時間,料金_1日,料金_2日間,料金_3日間,料金_7日間,料金_14日間,料金_30日間,備考
SPCIALIZED,ALLEZ COMP,,貸出可能,RINCLE 名古屋名城公園駅店 / スペシャライズド 名城,愛知県名古屋市北区名城,ロードバイク,52,3300,5500,11000,16500,38500,,,
SPCIALIZED,TARMAC SL8 PRO,,貸出可能,RINCLE 名古屋名城公園駅店 / スペシャライズド 名城,愛知県名古屋市北区名城,ロードバイク,49,3300,5500,11000,16500,38500,,,
SPECIALIZED,Turbo Vado SL2 5.0,e-bike,貸出可能,RINCLE 名古屋名城公園駅店 / スペシャライズド 名城,愛知県名古屋市北区名城,クロスバイク,S(158~165),4400,6600,13200,19800,46200,,,
SPECIALIZED,ROUBAIX SL8 COMP - SHIMANO 105 DI2,,貸出可能,RINCLE 名古屋名城公園駅店 / スペシャライズド 名城,愛知県名古屋市北区名城,ロードバイク,52,3300,5500,11000,16500,38500,,,
SPECIALIZED,ROUBAIX COMP SRAM Rival eTap AXS,,貸出可能,RINCLE 名古屋名城公園駅店 / スペシャライズド 名城,愛知県名古屋市北区名城,ロードバイク,54,3300,5500,11000,16500,38500,,,
SPECIALIZED,Turbo Vado SL 5.0,e-bike,メンテナンス中,RINCLE 名古屋名城公園駅店 / スペシャライズド 名城,愛知県名古屋市北区名城,クロスバイク,S(155-165),4400,6600,13200,19800,46200,,,
BROMPTON,S6L,,貸出可能,RINCLE 愛知小牧店 / カミハギサイクル 小牧本店,愛知県小牧市小木東1-25,ミニベロ/折りたたみ,16,3300,6050,9350,11550,20900,33000,49500,
TREK,MADONE SL5,,貸出可能,RINCLE 愛知小牧店 / カミハギサイクル 小牧本店,愛知県小牧市小木東1-25,ロードバイク,M,4950,7700,13200,17600,29700,49500,71500,
CANNONDALE,TOPSTONE 2,,貸出可能,RINCLE 愛知小牧店 / カミハギサイクル 小牧本店,愛知県小牧市小木東1-25,ロードバイク,S,4950,7700,13200,17600,29700,49500,71500,
TREK,FX 2,,貸出可能,RINCLE 愛知小牧店 / カミハギサイクル 小牧本店,愛知県小牧市小木東1-25,クロスバイク,M,3300,3850,5500,8250,15400,24200,38500,
TREK,EMONDA ALR 5,,貸出可能,RINCLE 愛知小牧店 / カミハギサイクル 小牧本店,愛知県小牧市小木東1-25,ロードバイク,50,3850,5500,8800,13200,22000,30800,44000,
SPECIALIZED,AETHOS 2 PRO,,貸出可能,RINCLE 愛知小牧店 / カミハギサイクル 小牧本店,愛知県小牧市小木東1-25,ロードバイク,49,4950,7700,13200,17600,29700,49500,71500,
SPECIALIZED,SIRRUS X 2.0,,貸出可能,RINCLE 愛知小牧店 / カミハギサイクル 小牧本店,愛知県小牧市小木東1-25,クロスバイク,S,3300,3850,5500,8250,15400,24200,38500,
cannondale,SYNAPSE CARBON 3L,,貸出可能,RINCLE 名古屋徳重駅店 / カミハギサイクル 緑店,愛知県名古屋市緑区鶴が沢2-1012,ロードバイク,48,4950,7700,13200,17600,29700,49500,71500,
SPECIALIZED,S-WORKS TARMAC SL8 DURA-ACE,,貸出可能,RINCLE 名古屋徳重駅店 / カミハギサイクル 緑店,愛知県名古屋市緑区鶴が沢2-1012,ロードバイク,52,6600,9900,17600,25300,29700,63800,104500,
SPECIALIZED,ALLEZ E5,,貸出可能,RINCLE 名古屋徳重駅店 / カミハギサイクル 緑店,愛知県名古屋市緑区鶴が沢2-1012,ロードバイク,49,3850,5500,8800,13200,22000,30800,44000,
SPECIALIZED,SIRRUS X 2.0,,貸出可能,RINCLE 名古屋徳重駅店 / カミハギサイクル 緑店,愛知県名古屋市緑区鶴が沢2-1012,クロスバイク,S,3300,3850,5500,8250,15400,24200,38500,
