ブランド,モデル,e-bike,ステータス,取扱店舗,住所,種別,サイズ,料金_3時間,料金_1日,料金_2日間,料金_3日間,料金_7日間,料金_14日間,料金_30日間,備考
SPECIALIZED,S-Works Tarmac SL9,,メンテナンス中,RINCLE 神戸駅店 / スペシャライズド神戸,兵庫県神戸市中央区相生町2丁目1-337,ロードバイク,56(175~180),6600,9900,,,,,,料金は1日まで
SPECIALIZED,Aethos 2 Pro,,貸出可能,RINCLE 神戸東灘店/BICYCLE STORE Rideworks（レンタル車体準備中）,兵庫県神戸市東灘区本山中町2丁目1-32,ロードバイク,52(163~170),5000,8000,,,,,,料金は1日まで
SPECIALIZED,Tarmac SL8 Pro,,貸出可能,RINCLE 神戸東灘店/BICYCLE STORE Rideworks（レンタル車体準備中）,兵庫県神戸市東灘区本山中町2丁目1-32,ロードバイク,54(170~175),5000,8000,12001,17000,28000,36000,64000,2日間¥12,001はサイト表記のまま
SPECIALIZED,Roubaix SL8 Sport,,貸出可能,RINCLE 神戸東灘店/BICYCLE STORE Rideworks（レンタル車体準備中）,兵庫県神戸市東灘区本山中町2丁目1-32,ロードバイク,49(155~163),3100,4400,6700,9000,13600,21300,28000,
SPECIALIZED,Turbo Vado SL 2 4.0,e-bike,貸出可能,RINCLE 神戸東灘店/BICYCLE STORE Rideworks（レンタル車体準備中）,兵庫県神戸市東灘区本山中町2丁目1-32,クロスバイク,S(155~165),3999,5500,,,,,,料金は1日まで（3時間¥3,999はサイト表記のまま）
PINARELLO,DOGMA F,,貸出可能,RINCLE 神戸東灘店/BICYCLE STORE Rideworks（レンタル車体準備中）,兵庫県神戸市東灘区本山中町2丁目1-32,ロードバイク,500(約167~174cm),7000,12100,,,,,,料金は1日まで
cervelo,R5,,貸出可能,RINCLE 神戸東灘店/BICYCLE STORE Rideworks（レンタル車体準備中）,兵庫県神戸市東灘区本山中町2丁目1-32,ロードバイク,51(約165~175cm),7000,12100,,,,,,料金は1日まで
BROMPTON,T Line Urban Low,,メンテナンス中,RINCLE 神戸三宮駅店 /Brompton Junction KOBE（レンタル車体準備中）,兵庫県神戸市中央区下山手通3-3-1,ミニベロ/折りたたみ,155cm~175cm（目安）,5500,7700,,,,,,料金は1日まで
BROMPTON,G Line Naked,,メンテナンス中,RINCLE 神戸三宮駅店 /Brompton Junction KOBE（レンタル車体準備中）,兵庫県神戸市中央区下山手通3-3-1,ミニベロ/折りたたみ,Small(152cm~168cm),4400,6600,11000,13999,15999,18000,23999,
BROMPTON,P Line Explore Low,,メンテナンス中,RINCLE 神戸三宮駅店 /Brompton Junction KOBE（レンタル車体準備中）,兵庫県神戸市中央区下山手通3-3-1,ミニベロ/折りたたみ,155~175cm（目安）,4400,6600,11000,13999,15999,18000,23999,
BROMPTON,P Line Urban Middle,,メンテナンス中,RINCLE 神戸三宮駅店 /Brompton Junction KOBE（レンタル車体準備中）,兵庫県神戸市中央区下山手通3-3-1,ミニベロ/折りたたみ,155~175cm（目安）,4400,6600,11000,13999,15999,18000,23999,
